Country,Year,Complaints,Losses,Continent,Nation_Wealth,West_or_East,Pandemic_Era,Is_Leap_Year
Jordan,2021,882,5933560,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,False
Jordan,2022,868,8015475,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,False
Jordan,2023,833,11136442,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,False
Jordan,2024,955,11618599,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,True
Kazakhstan,2019,9655,215224978,Asia,Other/Unknown,Other/Unknown,Pre-Pandemic,False
Kazakhstan,2020,16735,228613185,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,True
Kazakhstan,2021,17175,334183044,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,False
Kazakhstan,2022,13293,490818787,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,False
Kazakhstan,2023,12134,642098116,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,False
Kazakhstan,2024,18341,883976919,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,True
Kenya,2019,2410,19120184,Africa,Lower-Middle Income,Other/Unknown,Pre-Pandemic,False
Kenya,2020,3367,24505055,Africa,Lower-Middle Income,Other/Unknown,Post-Pandemic,True
Kenya,2021,3777,41314068,Africa,Lower-Middle Income,Other/Unknown,Post-Pandemic,False
Kenya,2022,3176,67202983,Africa,Lower-Middle Income,Other/Unknown,Post-Pandemic,False
Kenya,2023,3993,68532563,Africa,Lower-Middle Income,Other/Unknown,Post-Pandemic,False
Kenya,2024,4245,85415845,Africa,Lower-Middle Income,Other/Unknown,Post-Pandemic,True
Kyrgyzstan,2019,5029,90758012,Asia,Other/Unknown,Other/Unknown,Pre-Pandemic,False
Kyrgyzstan,2020,8607,127676103,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,True
Kyrgyzstan,2021,8796,223117975,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,False
Kyrgyzstan,2022,6508,282601093,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,False
Kyrgyzstan,2023,11930,316897412,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,False
Kyrgyzstan,2024,10285,384798989,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,True
Latvia,2019,4183,27217794,Europe,Other/Unknown,Western,Pre-Pandemic,False
Latvia,2020,9046,33853664,Europe,Other/Unknown,Western,Post-Pandemic,True
Latvia,2021,7659,50261795,Europe,Other/Unknown,Western,Post-Pandemic,False
Latvia,2022,5668,79401403,Europe,Other/Unknown,Western,Post-Pandemic,False
Latvia,2023,7348,95600192,Europe,Other/Unknown,Western,Post-Pandemic,False
Latvia,2024,8140,141459082,Europe,Other/Unknown,Western,Post-Pandemic,True
Lebanon,2019,4337,39296596,Asia,Other/Unknown,Other/Unknown,Pre-Pandemic,False
Lebanon,2020,6880,41501339,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,True
Lebanon,2021,5665,72133701,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,False
Lebanon,2022,8680,116848478,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,False
Lebanon,2023,7894,120470644,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,False
Lebanon,2024,6248,148621809,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,True
Libya,2019,1154,7827594,Africa,Other/Unknown,Other/Unknown,Pre-Pandemic,False
Libya,2020,1870,9907911,Africa,Other/Unknown,Other/Unknown,Post-Pandemic,True
Libya,2021,1825,18937753,Africa,Other/Unknown,Other/Unknown,Post-Pandemic,False
Libya,2022,1908,25303239,Africa,Other/Unknown,Other/Unknown,Post-Pandemic,False
Libya,2023,2329,26933272,Africa,Other/Unknown,Other/Unknown,Post-Pandemic,False
Libya,2024,2359,35814196,Africa,Other/Unknown,Other/Unknown,Post-Pandemic,True
Lithuania,2019,5463,58251632,Europe,High Income,Western,Pre-Pandemic,False
Lithuania,2020,8981,86867615,Europe,High Income,Western,Post-Pandemic,True
Lithuania,2021,11359,120550579,Europe,High Income,Western,Post-Pandemic,False
Lithuania,2022,9666,188147563,Europe,High Income,Western,Post-Pandemic,False
Lithuania,2023,8433,315202293,Europe,High Income,Western,Post-Pandemic,False
Lithuania,2024,10050,257790222,Europe,High Income,Western,Post-Pandemic,True
Luxembourg,2019,612,11718536,Europe,High Income,Western,Pre-Pandemic,False
Luxembourg,2020,1035,14032708,Europe,High Income,Western,Post-Pandemic,True
Luxembourg,2021,1055,22175186,Europe,High Income,Western,Post-Pandemic,False
Luxembourg,2022,812,32981892,Europe,High Income,Western,Post-Pandemic,False
Luxembourg,2023,951,41315061,Europe,High Income,Western,Post-Pandemic,False
Luxembourg,2024,1099,45198080,Europe,High Income,Western,Post-Pandemic,True
Malaysia,2019,3163,53285151,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,False
Malaysia,2020,5608,55360884,Asia,Upper-Middle Income,Eastern,Post-Pandemic,True
Malaysia,2021,5851,131437045,Asia,Upper-Middle Income,Eastern,Post-Pandemic,False
Malaysia,2022,6937,187356525,Asia,Upper-Middle Income,Eastern,Post-Pandemic,False
Malaysia,2023,6006,226431418,Asia,Upper-Middle Income,Eastern,Post-Pandemic,False
Malaysia,2024,5931,344158750,Asia,Upper-Middle Income,Eastern,Post-Pandemic,True
Maldives,2019,337,2832717,Asia,Other/Unknown,Other/Unknown,Pre-Pandemic,False
Maldives,2020,668,5022918,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,True
Maldives,2021,574,4362630,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,False
Maldives,2022,577,9698308,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,False
Maldives,2023,778,11432984,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,False
Maldives,2024,1057,13304758,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,True
Malta,2019,642,15863991,Europe,High Income,Western,Pre-Pandemic,False
Malta,2020,1589,19538664,Europe,High Income,Western,Post-Pandemic,True
Malta,2021,1402,32583587,Europe,High Income,Western,Post-Pandemic,False
Malta,2022,1547,39902875,Europe,High Income,Western,Post-Pandemic,False
Malta,2023,1821,56426606,Europe,High Income,Western,Post-Pandemic,False
Malta,2024,1347,66224639,Europe,High Income,Western,Post-Pandemic,True
Mexico,2019,6770,118445689,North America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
Mexico,2020,10216,144440919,North America,Upper-Middle Income,Other/Unknown,Post-Pandemic,True
Mexico,2021,9626,238351830,North America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
Mexico,2022,12425,365325453,North America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
Mexico,2023,12870,446395507,North America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
Mexico,2024,17969,506585917,North America,Upper-Middle Income,Other/Unknown,Post-Pandemic,True
Moldova,2019,5156,29234480,Europe,Other/Unknown,Other/Unknown,Pre-Pandemic,False
Moldova,2020,6684,31714733,Europe,Other/Unknown,Other/Unknown,Post-Pandemic,True
Moldova,2021,9518,54354359,Europe,Other/Unknown,Other/Unknown,Post-Pandemic,False
Moldova,2022,5551,100461762,Europe,Other/Unknown,Other/Unknown,Post-Pandemic,False
Moldova,2023,7045,89668934,Europe,Other/Unknown,Other/Unknown,Post-Pandemic,False
Moldova,2024,9086,118929790,Europe,Other/Unknown,Other/Unknown,Post-Pandemic,True
Mongolia,2019,1064,26326159,Asia,Other/Unknown,Eastern,Pre-Pandemic,False
Mongolia,2020,1937,32473442,Asia,Other/Unknown,Eastern,Post-Pandemic,True
Mongolia,2021,1514,52528265,Asia,Other/Unknown,Eastern,Post-Pandemic,False
Mongolia,2022,2321,98551738,Asia,Other/Unknown,Eastern,Post-Pandemic,False
Mongolia,2023,1999,93152308,Asia,Other/Unknown,Eastern,Post-Pandemic,False
Mongolia,2024,2253,123314277,Asia,Other/Unknown,Eastern,Post-Pandemic,True
Mozambique,2019,1773,14590391,Africa,Low Income,Other/Unknown,Pre-Pandemic,False
Mozambique,2020,3510,16760987,Africa,Low Income,Other/Unknown,Post-Pandemic,True
Mozambique,2021,3203,29921649,Africa,Low Income,Other/Unknown,Post-Pandemic,False
Mozambique,2022,3254,33495225,Africa,Low Income,Other/Unknown,Post-Pandemic,False
Mozambique,2023,3320,47474414,Africa,Low Income,Other/Unknown,Post-Pandemic,False
Mozambique,2024,4358,60688754,Africa,Low Income,Other/Unknown,Post-Pandemic,True
Myanmar,2019,2100,12568012,Asia,Other/Unknown,Eastern,Pre-Pandemic,False
Myanmar,2020,3264,15686730,Asia,Other/Unknown,Eastern,Post-Pandemic,True
Myanmar,2021,3638,28074566,Asia,Other/Unknown,Eastern,Post-Pandemic,False
Myanmar,2022,2329,36636924,Asia,Other/Unknown,Eastern,Post-Pandemic,False
Myanmar,2023,3655,44240763,Asia,Other/Unknown,Eastern,Post-Pandemic,False
Myanmar,2024,3960,55325202,Asia,Other/Unknown,Eastern,Post-Pandemic,True
Namibia,2019,239,2779417,Africa,Other/Unknown,Other/Unknown,Pre-Pandemic,False
Namibia,2020,430,5249534,Africa,Other/Unknown,Other/Unknown,Post-Pandemic,True
Namibia,2021,647,7782176,Africa,Other/Unknown,Other/Unknown,Post-Pandemic,False
Namibia,2022,602,11532811,Africa,Other/Unknown,Other/Unknown,Post-Pandemic,False
Namibia,2023,629,12975631,Africa,Other/Unknown,Other/Unknown,Post-Pandemic,False
Namibia,2024,718,16184254,Africa,Other/Unknown,Other/Unknown,Post-Pandemic,True
Nepal,2019,1046,9903690,Asia,Other/Unknown,Other/Unknown,Pre-Pandemic,False
Nepal,2020,2207,11937086,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,True
Nepal,2021,2485,19275846,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,False
Nepal,2022,2130,28683974,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,False
Nepal,2023,2992,36890222,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,False
Nepal,2024,2805,43141285,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,True
Netherlands,2019,49692,572304502,Europe,High Income,Western,Pre-Pandemic,False
Netherlands,2020,85089,895396401,Europe,High Income,Western,Post-Pandemic,True
Netherlands,2021,95372,1437353585,Europe,High Income,Western,Post-Pandemic,False
Netherlands,2022,80348,2216753376,Europe,High Income,Western,Post-Pandemic,False
Netherlands,2023,83301,3079554598,Europe,High Income,Western,Post-Pandemic,False
Netherlands,2024,97619,3320490586,Europe,High Income,Western,Post-Pandemic,True
New Zealand,2019,1662,13317391,Oceania,High Income,Western,Pre-Pandemic,False
New Zealand,2020,3713,18466612,Oceania,High Income,Western,Post-Pandemic,True
New Zealand,2021,4210,44661082,Oceania,High Income,Western,Post-Pandemic,False
New Zealand,2022,3972,58125970,Oceania,High Income,Western,Post-Pandemic,False
New Zealand,2023,4599,70383275,Oceania,High Income,Western,Post-Pandemic,False
New Zealand,2024,4488,67076977,Oceania,High Income,Western,Post-Pandemic,True
Nicaragua,2019,859,5969337,Other,Other/Unknown,Other/Unknown,Pre-Pandemic,False
Nicaragua,2020,1400,5175487,Other,Other/Unknown,Other/Unknown,Post-Pandemic,True
Nicaragua,2021,1584,9004728,Other,Other/Unknown,Other/Unknown,Post-Pandemic,False
Nicaragua,2022,1571,17315195,Other,Other/Unknown,Other/Unknown,Post-Pandemic,False
Nicaragua,2023,1642,22964248,Other,Other/Unknown,Other/Unknown,Post-Pandemic,False
Nicaragua,2024,1453,25763072,Other,Other/Unknown,Other/Unknown,Post-Pandemic,True
Nigeria,2019,1781,34340619,Africa,Lower-Middle Income,Other/Unknown,Pre-Pandemic,False
Nigeria,2020,3074,35736203,Africa,Lower-Middle Income,Other/Unknown,Post-Pandemic,True
Nigeria,2021,2203,56107226,Africa,Lower-Middle Income,Other/Unknown,Post-Pandemic,False
Nigeria,2022,3687,79935245,Africa,Lower-Middle Income,Other/Unknown,Post-Pandemic,False
Nigeria,2023,3556,102912199,Africa,Lower-Middle Income,Other/Unknown,Post-Pandemic,False
Nigeria,2024,3601,118105851,Africa,Lower-Middle Income,Other/Unknown,Post-Pandemic,True
Norway,2019,4031,45713939,Europe,High Income,Western,Pre-Pandemic,False
Norway,2020,6733,54542901,Europe,High Income,Western,Post-Pandemic,True
Norway,2021,10130,64274074,Europe,High Income,Western,Post-Pandemic,False
Norway,2022,9695,108540856,Europe,High Income,Western,Post-Pandemic,False
Norway,2023,10366,195621525,Europe,High Income,Western,Post-Pandemic,False
Norway,2024,11172,187551761,Europe,High Income,Western,Post-Pandemic,True
Oman,2019,2814,14755487,Asia,Other/Unknown,Other/Unknown,Pre-Pandemic,False
Oman,2020,3882,14987636,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,True
Oman,2021,3538,21448883,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,False
Oman,2022,4068,28911996,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,False
Oman,2023,4468,49837425,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,False
Oman,2024,4692,66634987,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,True
Pakistan,2019,28492,181705646,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
Pakistan,2020,52024,200518146,Asia,Lower-Middle Income,Eastern,Post-Pandemic,True
Pakistan,2021,40944,341893089,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
Pakistan,2022,48572,681501827,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
Pakistan,2023,53390,586037584,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
Pakistan,2024,71700,786591645,Asia,Lower-Middle Income,Eastern,Post-Pandemic,True
Palestine,2019,1784,22483591,Asia,Lower-Middle Income,Other/Unknown,Pre-Pandemic,False
Palestine,2020,2890,25423219,Asia,Lower-Middle Income,Other/Unknown,Post-Pandemic,True
Palestine,2021,3352,48918464,Asia,Lower-Middle Income,Other/Unknown,Post-Pandemic,False
Palestine,2022,3210,57796003,Asia,Lower-Middle Income,Other/Unknown,Post-Pandemic,False
Palestine,2023,3378,69292891,Asia,Lower-Middle Income,Other/Unknown,Post-Pandemic,False
Palestine,2024,3811,66002407,Asia,Lower-Middle Income,Other/Unknown,Post-Pandemic,True
Panama,2019,963,6611775,North America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
Panama,2020,1634,7821630,North America,Upper-Middle Income,Other/Unknown,Post-Pandemic,True
Panama,2021,1280,14020511,North America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
Panama,2022,1594,20058995,North America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
Panama,2023,1272,24329856,North America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
Panama,2024,1902,28577503,North America,Upper-Middle Income,Other/Unknown,Post-Pandemic,True
Papua New Guinea,2019,651,6153461,Oceania,Other/Unknown,Other/Unknown,Pre-Pandemic,False
Papua New Guinea,2020,1016,6431254,Oceania,Other/Unknown,Other/Unknown,Post-Pandemic,True
Papua New Guinea,2021,1065,12315882,Oceania,Other/Unknown,Other/Unknown,Post-Pandemic,False
Papua New Guinea,2022,1073,18509434,Oceania,Other/Unknown,Other/Unknown,Post-Pandemic,False
Papua New Guinea,2023,1062,23087850,Oceania,Other/Unknown,Other/Unknown,Post-Pandemic,False
Papua New Guinea,2024,1353,27177455,Oceania,Other/Unknown,Other/Unknown,Post-Pandemic,True
Paraguay,2019,1913,10967865,South America,Other/Unknown,Other/Unknown,Pre-Pandemic,False
Paraguay,2020,2992,13815152,South America,Other/Unknown,Other/Unknown,Post-Pandemic,True
Paraguay,2021,3188,26677869,South America,Other/Unknown,Other/Unknown,Post-Pandemic,False
Paraguay,2022,3768,40114594,South America,Other/Unknown,Other/Unknown,Post-Pandemic,False
Paraguay,2023,3487,33579643,South America,Other/Unknown,Other/Unknown,Post-Pandemic,False
Paraguay,2024,2678,45168957,South America,Other/Unknown,Other/Unknown,Post-Pandemic,True
Peru,2019,4435,27363061,South America,Other/Unknown,Other/Unknown,Pre-Pandemic,False
Peru,2020,7339,27058091,South America,Other/Unknown,Other/Unknown,Post-Pandemic,True
Peru,2021,8250,53418304,South America,Other/Unknown,Other/Unknown,Post-Pandemic,False
Peru,2022,7956,76468535,South America,Other/Unknown,Other/Unknown,Post-Pandemic,False
Peru,2023,9527,101727109,South America,Other/Unknown,Other/Unknown,Post-Pandemic,False
Peru,2024,9251,91797172,South America,Other/Unknown,Other/Unknown,Post-Pandemic,True
Philippines,2019,5688,179433874,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
Philippines,2020,10642,166452785,Asia,Lower-Middle Income,Eastern,Post-Pandemic,True
Philippines,2021,8192,276511773,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
Philippines,2022,11186,382348042,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
Philippines,2023,11365,534640287,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
Philippines,2024,12797,576134379,Asia,Lower-Middle Income,Eastern,Post-Pandemic,True
Poland,2019,21903,390365695,Europe,Other/Unknown,Other/Unknown,Pre-Pandemic,False
Poland,2020,42442,362788093,Europe,Other/Unknown,Other/Unknown,Post-Pandemic,True
Poland,2021,37317,596864046,Europe,Other/Unknown,Other/Unknown,Post-Pandemic,False
Poland,2022,48071,1207252948,Europe,Other/Unknown,Other/Unknown,Post-Pandemic,False
Poland,2023,49459,1040011485,Europe,Other/Unknown,Other/Unknown,Post-Pandemic,False
Poland,2024,40855,1359253205,Europe,Other/Unknown,Other/Unknown,Post-Pandemic,True
Portugal,2019,1119,13870074,Europe,Other/Unknown,Western,Pre-Pandemic,False
Portugal,2020,2020,12391290,Europe,Other/Unknown,Western,Post-Pandemic,True
Portugal,2021,2102,18205913,Europe,Other/Unknown,Western,Post-Pandemic,False
Portugal,2022,1918,30859319,Europe,Other/Unknown,Western,Post-Pandemic,False
Portugal,2023,2178,28700418,Europe,Other/Unknown,Western,Post-Pandemic,False
Portugal,2024,2209,40192274,Europe,Other/Unknown,Western,Post-Pandemic,True
Puerto Rico,2019,655,5929974,North America,High Income,Western,Pre-Pandemic,False
Puerto Rico,2020,1338,7209755,North America,High Income,Western,Post-Pandemic,True
Puerto Rico,2021,1785,9463928,North America,High Income,Western,Post-Pandemic,False
Puerto Rico,2022,1594,17211758,North America,High Income,Western,Post-Pandemic,False
Puerto Rico,2023,1817,21018302,North America,High Income,Western,Post-Pandemic,False
Puerto Rico,2024,1974,31545772,North America,High Income,Western,Post-Pandemic,True
Romania,2019,17366,121565659,Europe,Upper-Middle Income,Western,Pre-Pandemic,False
Romania,2020,25108,152115092,Europe,Upper-Middle Income,Western,Post-Pandemic,True
Romania,2021,31549,301879874,Europe,Upper-Middle Income,Western,Post-Pandemic,False
Romania,2022,28823,349041126,Europe,Upper-Middle Income,Western,Post-Pandemic,False
Romania,2023,31255,552881444,Europe,Upper-Middle Income,Western,Post-Pandemic,False
Romania,2024,33338,534185027,Europe,Upper-Middle Income,Western,Post-Pandemic,True
Russia,2019,159459,2404940557,Europe,Upper-Middle Income,Eastern,Pre-Pandemic,False
Russia,2020,293917,2402832265,Europe,Upper-Middle Income,Eastern,Post-Pandemic,True
Russia,2021,264533,5932226222,Europe,Upper-Middle Income,Eastern,Post-Pandemic,False
Russia,2022,296978,7664442141,Europe,Upper-Middle Income,Eastern,Post-Pandemic,False
Russia,2023,289271,11282113958,Europe,Upper-Middle Income,Eastern,Post-Pandemic,False
Russia,2024,324091,11161782401,Europe,Upper-Middle Income,Eastern,Post-Pandemic,True
Saint Kitts and Nevis,2019,261,3016590,North America,Other/Unknown,Other/Unknown,Pre-Pandemic,False
Saint Kitts and Nevis,2020,429,5272765,North America,Other/Unknown,Other/Unknown,Post-Pandemic,True
Saint Kitts and Nevis,2021,576,7953931,North America,Other/Unknown,Other/Unknown,Post-Pandemic,False
Saint Kitts and Nevis,2022,458,10228299,North America,Other/Unknown,Other/Unknown,Post-Pandemic,False
Saint Kitts and Nevis,2023,540,9735063,North America,Other/Unknown,Other/Unknown,Post-Pandemic,False
Saint Kitts and Nevis,2024,523,15660694,North America,Other/Unknown,Other/Unknown,Post-Pandemic,True
Saudi Arabia,2019,543,11786077,Asia,High Income,Eastern,Pre-Pandemic,False
Saudi Arabia,2020,776,14140050,Asia,High Income,Eastern,Post-Pandemic,True
Saudi Arabia,2021,1115,23930228,Asia,High Income,Eastern,Post-Pandemic,False
Saudi Arabia,2022,1077,25027493,Asia,High Income,Eastern,Post-Pandemic,False
Saudi Arabia,2023,1099,43606854,Asia,High Income,Eastern,Post-Pandemic,False
Saudi Arabia,2024,882,53680633,Asia,High Income,Eastern,Post-Pandemic,True
Serbia,2019,9268,70529910,Europe,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
Serbia,2020,17344,81490357,Europe,Upper-Middle Income,Other/Unknown,Post-Pandemic,True
Serbia,2021,19484,129659345,Europe,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
Serbia,2022,15267,200497281,Europe,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
Serbia,2023,17658,199276163,Europe,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
Serbia,2024,18312,276403955,Europe,Upper-Middle Income,Other/Unknown,Post-Pandemic,True
Seychelles,2019,27698,326719153,Africa,Other/Unknown,Other/Unknown,Pre-Pandemic,False
Seychelles,2020,47919,410036875,Africa,Other/Unknown,Other/Unknown,Post-Pandemic,True
Seychelles,2021,57050,643725512,Africa,Other/Unknown,Other/Unknown,Post-Pandemic,False
Seychelles,2022,48057,1004081887,Africa,Other/Unknown,Other/Unknown,Post-Pandemic,False
Seychelles,2023,49245,1159638524,Africa,Other/Unknown,Other/Unknown,Post-Pandemic,False
Seychelles,2024,72589,1185940522,Africa,Other/Unknown,Other/Unknown,Post-Pandemic,True
Singapore,2019,61470,1051420849,Asia,High Income,Eastern,Pre-Pandemic,False
Singapore,2020,127548,1102776096,Asia,High Income,Eastern,Post-Pandemic,True
Singapore,2021,139124,1834545540,Asia,High Income,Eastern,Post-Pandemic,False
Singapore,2022,137210,3813537684,Asia,High Income,Eastern,Post-Pandemic,False
Singapore,2023,144002,3828469818,Asia,High Income,Eastern,Post-Pandemic,False
Singapore,2024,161666,4524535787,Asia,High Income,Eastern,Post-Pandemic,True
Slovakia,2019,1962,18206898,Europe,High Income,Western,Pre-Pandemic,False
Slovakia,2020,3761,22972759,Europe,High Income,Western,Post-Pandemic,True
Slovakia,2021,4336,23441713,Europe,High Income,Western,Post-Pandemic,False
Slovakia,2022,3100,45874291,Europe,High Income,Western,Post-Pandemic,False
Slovakia,2023,3544,69951666,Europe,High Income,Western,Post-Pandemic,False
Slovakia,2024,3770,80074928,Europe,High Income,Western,Post-Pandemic,True
Slovenia,2019,358,7257183,Europe,Other/Unknown,Western,Pre-Pandemic,False
Slovenia,2020,472,9239424,Europe,Other/Unknown,Western,Post-Pandemic,True
Slovenia,2021,654,14206301,Europe,Other/Unknown,Western,Post-Pandemic,False
Slovenia,2022,657,22294080,Europe,Other/Unknown,Western,Post-Pandemic,False
Slovenia,2023,658,22218114,Europe,Other/Unknown,Western,Post-Pandemic,False
Slovenia,2024,553,42624356,Europe,Other/Unknown,Western,Post-Pandemic,True
South Africa,2019,43982,622385234,Africa,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
South Africa,2020,89172,867946291,Africa,Upper-Middle Income,Other/Unknown,Post-Pandemic,True
South Africa,2021,79227,1324036298,Africa,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
South Africa,2022,76854,2082730216,Africa,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
South Africa,2023,69950,2521801141,Africa,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
South Africa,2024,90471,3044360891,Africa,Upper-Middle Income,Other/Unknown,Post-Pandemic,True
South Korea,2019,15419,297651983,Asia,High Income,Eastern,Pre-Pandemic,False
South Korea,2020,28400,361302082,Asia,High Income,Eastern,Post-Pandemic,True
South Korea,2021,36409,572452315,Asia,High Income,Eastern,Post-Pandemic,False
South Korea,2022,29216,875621156,Asia,High Income,Eastern,Post-Pandemic,False
South Korea,2023,35254,877591085,Asia,High Income,Eastern,Post-Pandemic,False
South Korea,2024,29084,939580849,Asia,High Income,Eastern,Post-Pandemic,True
Spain,2019,31731,334885510,Europe,High Income,Western,Pre-Pandemic,False
Spain,2020,61452,479903741,Europe,High Income,Western,Post-Pandemic,True
Spain,2021,76578,692305090,Europe,High Income,Western,Post-Pandemic,False
Spain,2022,71212,1027272058,Europe,High Income,Western,Post-Pandemic,False
Spain,2023,69263,1266113273,Europe,High Income,Western,Post-Pandemic,False
Spain,2024,85721,1244474108,Europe,High Income,Western,Post-Pandemic,True
Sri Lanka,2019,331,5241631,Asia,Other/Unknown,Eastern,Pre-Pandemic,False
Sri Lanka,2020,728,7133861,Asia,Other/Unknown,Eastern,Post-Pandemic,True
Sri Lanka,2021,779,11815830,Asia,Other/Unknown,Eastern,Post-Pandemic,False
Sri Lanka,2022,878,18551545,Asia,Other/Unknown,Eastern,Post-Pandemic,False
Sri Lanka,2023,750,22450558,Asia,Other/Unknown,Eastern,Post-Pandemic,False
Sri Lanka,2024,974,22772342,Asia,Other/Unknown,Eastern,Post-Pandemic,True
Sweden,2019,43233,288695571,Europe,High Income,Western,Pre-Pandemic,False
Sweden,2020,61690,330876641,Europe,High Income,Western,Post-Pandemic,True
Sweden,2021,78842,615839471,Europe,High Income,Western,Post-Pandemic,False
Sweden,2022,85983,882362917,Europe,High Income,Western,Post-Pandemic,False
Sweden,2023,81499,876268421,Europe,High Income,Western,Post-Pandemic,False
Sweden,2024,85663,1267709488,Europe,High Income,Western,Post-Pandemic,True
Switzerland,2019,13044,102495918,Europe,High Income,Western,Pre-Pandemic,False
Switzerland,2020,18748,125191128,Europe,High Income,Western,Post-Pandemic,True
Switzerland,2021,14344,204927558,Europe,High Income,Western,Post-Pandemic,False
Switzerland,2022,15949,325885360,Europe,High Income,Western,Post-Pandemic,False
Switzerland,2023,21098,270071586,Europe,High Income,Western,Post-Pandemic,False
Switzerland,2024,22539,532068262,Europe,High Income,Western,Post-Pandemic,True
Taiwan,2019,16960,205458284,Asia,High Income,Eastern,Pre-Pandemic,False
Taiwan,2020,30125,181937259,Asia,High Income,Eastern,Post-Pandemic,True
Taiwan,2021,23412,403540295,Asia,High Income,Eastern,Post-Pandemic,False
Taiwan,2022,29178,597702921,Asia,High Income,Eastern,Post-Pandemic,False
Taiwan,2023,29158,866022568,Asia,High Income,Eastern,Post-Pandemic,False
Taiwan,2024,28801,843230608,Asia,High Income,Eastern,Post-Pandemic,True
Tanzania,2019,3052,14935783,Africa,Low Income,Other/Unknown,Pre-Pandemic,False
Tanzania,2020,4171,21277746,Africa,Low Income,Other/Unknown,Post-Pandemic,True
Tanzania,2021,4917,23961290,Africa,Low Income,Other/Unknown,Post-Pandemic,False
Tanzania,2022,4362,66303435,Africa,Low Income,Other/Unknown,Post-Pandemic,False
Tanzania,2023,6044,60317924,Africa,Low Income,Other/Unknown,Post-Pandemic,False
Tanzania,2024,5223,56671764,Africa,Low Income,Other/Unknown,Post-Pandemic,True
Thailand,2019,13088,122082224,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,False
Thailand,2020,24580,147126154,Asia,Upper-Middle Income,Eastern,Post-Pandemic,True
Thailand,2021,28961,247890207,Asia,Upper-Middle Income,Eastern,Post-Pandemic,False
Thailand,2022,33569,298227985,Asia,Upper-Middle Income,Eastern,Post-Pandemic,False
Thailand,2023,28129,425375149,Asia,Upper-Middle Income,Eastern,Post-Pandemic,False
Thailand,2024,31341,534867939,Asia,Upper-Middle Income,Eastern,Post-Pandemic,True
Turkey,2019,16525,208240641,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,False
