Country,Year,Complaints,Losses,Continent,Nation_Wealth,West_or_East,Pandemic_Era,Is_Leap_Year
Belgium,2024,12375,303148050,Europe,High Income,Western,Post-Pandemic,True
Belize,2019,323,2498015,North America,Other/Unknown,Other/Unknown,Pre-Pandemic,False
Belize,2020,548,4146715,North America,Other/Unknown,Other/Unknown,Post-Pandemic,True
Belize,2021,612,5194911,North America,Other/Unknown,Other/Unknown,Post-Pandemic,False
Belize,2022,570,8430382,North America,Other/Unknown,Other/Unknown,Post-Pandemic,False
Belize,2023,723,9110927,North America,Other/Unknown,Other/Unknown,Post-Pandemic,False
Belize,2024,572,12538008,North America,Other/Unknown,Other/Unknown,Post-Pandemic,True
Bosnia and Herzegovina,2019,7100,48232941,Europe,Other/Unknown,Other/Unknown,Pre-Pandemic,False
Bosnia and Herzegovina,2020,11871,35153818,Europe,Other/Unknown,Other/Unknown,Post-Pandemic,True
Bosnia and Herzegovina,2021,13041,55776221,Europe,Other/Unknown,Other/Unknown,Post-Pandemic,False
Bosnia and Herzegovina,2022,11519,132423841,Europe,Other/Unknown,Other/Unknown,Post-Pandemic,False
Bosnia and Herzegovina,2023,13156,148850878,Europe,Other/Unknown,Other/Unknown,Post-Pandemic,False
Bosnia and Herzegovina,2024,13605,191209005,Europe,Other/Unknown,Other/Unknown,Post-Pandemic,True
Brazil,2019,113294,571530336,South America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
Brazil,2020,163299,749658021,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,True
Brazil,2021,174117,894516056,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
Brazil,2022,155028,1644488725,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
Brazil,2023,158423,1808030603,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
Brazil,2024,248765,2590565434,South America,Upper-Middle Income,Other/Unknown,Post-Pandemic,True
British Virgin Islands,2019,813,14172668,North America,Other/Unknown,Other/Unknown,Pre-Pandemic,False
British Virgin Islands,2020,1840,10930431,North America,Other/Unknown,Other/Unknown,Post-Pandemic,True
British Virgin Islands,2021,1995,33292428,North America,Other/Unknown,Other/Unknown,Post-Pandemic,False
British Virgin Islands,2022,1850,48459372,North America,Other/Unknown,Other/Unknown,Post-Pandemic,False
British Virgin Islands,2023,2123,48451711,North America,Other/Unknown,Other/Unknown,Post-Pandemic,False
British Virgin Islands,2024,2194,44568346,North America,Other/Unknown,Other/Unknown,Post-Pandemic,True
Bulgaria,2019,14189,118129647,Europe,Upper-Middle Income,Western,Pre-Pandemic,False
Bulgaria,2020,26712,111207806,Europe,Upper-Middle Income,Western,Post-Pandemic,True
Bulgaria,2021,24968,248788813,Europe,Upper-Middle Income,Western,Post-Pandemic,False
Bulgaria,2022,23525,338814414,Europe,Upper-Middle Income,Western,Post-Pandemic,False
Bulgaria,2023,26404,443783119,Europe,Upper-Middle Income,Western,Post-Pandemic,False
Bulgaria,2024,24208,522143452,Europe,Upper-Middle Income,Western,Post-Pandemic,True
Cambodia,2019,8019,75168331,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
Cambodia,2020,10613,80437904,Asia,Lower-Middle Income,Eastern,Post-Pandemic,True
Cambodia,2021,11881,131850198,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
Cambodia,2022,14054,200408531,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
Cambodia,2023,10343,241848538,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
Cambodia,2024,13086,294425335,Asia,Lower-Middle Income,Eastern,Post-Pandemic,True
Canada,2019,36655,673206760,North America,High Income,Western,Pre-Pandemic,False
Canada,2020,72594,793553716,North America,High Income,Western,Post-Pandemic,True
Canada,2021,73526,1161857486,North America,High Income,Western,Post-Pandemic,False
Canada,2022,71962,1857378939,North America,High Income,Western,Post-Pandemic,False
Canada,2023,54220,2277570974,North America,High Income,Western,Post-Pandemic,False
Canada,2024,71796,2542329668,North America,High Income,Western,Post-Pandemic,True
Chile,2019,1409,49590061,South America,High Income,Other/Unknown,Pre-Pandemic,False
Chile,2020,2772,40920566,South America,High Income,Other/Unknown,Post-Pandemic,True
Chile,2021,2624,60731300,South America,High Income,Other/Unknown,Post-Pandemic,False
Chile,2022,2451,113895219,South America,High Income,Other/Unknown,Post-Pandemic,False
Chile,2023,3034,129479043,South America,High Income,Other/Unknown,Post-Pandemic,False
Chile,2024,3501,195674840,South America,High Income,Other/Unknown,Post-Pandemic,True
China,2019,449305,2532007781,Asia,Upper-Middle Income,Eastern,Pre-Pandemic,False
China,2020,705690,3061083799,Asia,Upper-Middle Income,Eastern,Post-Pandemic,True
China,2021,940125,5067323422,Asia,Upper-Middle Income,Eastern,Post-Pandemic,False
China,2022,764388,7405960835,Asia,Upper-Middle Income,Eastern,Post-Pandemic,False
China,2023,678224,8997589579,Asia,Upper-Middle Income,Eastern,Post-Pandemic,False
China,2024,868309,11299124337,Asia,Upper-Middle Income,Eastern,Post-Pandemic,True
Colombia,2019,6865,69494853,South America,Other/Unknown,Other/Unknown,Pre-Pandemic,False
Colombia,2020,13886,64216061,South America,Other/Unknown,Other/Unknown,Post-Pandemic,True
Colombia,2021,15699,109189140,South America,Other/Unknown,Other/Unknown,Post-Pandemic,False
Colombia,2022,15657,164002220,South America,Other/Unknown,Other/Unknown,Post-Pandemic,False
Colombia,2023,17214,203249469,South America,Other/Unknown,Other/Unknown,Post-Pandemic,False
Colombia,2024,14814,285005300,South America,Other/Unknown,Other/Unknown,Post-Pandemic,True
Costa Rica,2019,414,4698147,North America,Upper-Middle Income,Other/Unknown,Pre-Pandemic,False
Costa Rica,2020,659,7090087,North America,Upper-Middle Income,Other/Unknown,Post-Pandemic,True
Costa Rica,2021,815,11177920,North America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
Costa Rica,2022,770,16613844,North America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
Costa Rica,2023,1013,20887823,North America,Upper-Middle Income,Other/Unknown,Post-Pandemic,False
Costa Rica,2024,831,24076527,North America,Upper-Middle Income,Other/Unknown,Post-Pandemic,True
Croatia,2019,1468,8092129,Europe,Other/Unknown,Western,Pre-Pandemic,False
Croatia,2020,1658,10595145,Europe,Other/Unknown,Western,Post-Pandemic,True
Croatia,2021,2326,18793743,Europe,Other/Unknown,Western,Post-Pandemic,False
Croatia,2022,1879,24393753,Europe,Other/Unknown,Western,Post-Pandemic,False
Croatia,2023,2280,28853906,Europe,Other/Unknown,Western,Post-Pandemic,False
Croatia,2024,3054,34319762,Europe,Other/Unknown,Western,Post-Pandemic,True
Cyprus,2019,999,5686522,Europe,High Income,Western,Pre-Pandemic,False
Cyprus,2020,1706,6853488,Europe,High Income,Western,Post-Pandemic,True
Cyprus,2021,1762,12133741,Europe,High Income,Western,Post-Pandemic,False
Cyprus,2022,1723,17339298,Europe,High Income,Western,Post-Pandemic,False
Cyprus,2023,2345,19199921,Europe,High Income,Western,Post-Pandemic,False
Cyprus,2024,1838,19483205,Europe,High Income,Western,Post-Pandemic,True
Czech Republic,2019,30211,172991200,Europe,Other/Unknown,Western,Pre-Pandemic,False
Czech Republic,2020,47442,212529097,Europe,Other/Unknown,Western,Post-Pandemic,True
Czech Republic,2021,68328,431356435,Europe,Other/Unknown,Western,Post-Pandemic,False
Czech Republic,2022,49178,514944367,Europe,Other/Unknown,Western,Post-Pandemic,False
Czech Republic,2023,60855,600351173,Europe,Other/Unknown,Western,Post-Pandemic,False
Czech Republic,2024,60358,718180351,Europe,Other/Unknown,Western,Post-Pandemic,True
Denmark,2019,5670,38097127,Europe,High Income,Western,Pre-Pandemic,False
Denmark,2020,9143,37191643,Europe,High Income,Western,Post-Pandemic,True
Denmark,2021,10529,78734767,Europe,High Income,Western,Post-Pandemic,False
Denmark,2022,9954,119930937,Europe,High Income,Western,Post-Pandemic,False
Denmark,2023,10211,117811560,Europe,High Income,Western,Post-Pandemic,False
Denmark,2024,8616,125845887,Europe,High Income,Western,Post-Pandemic,True
Dominican Republic,2019,7728,39752918,North America,Other/Unknown,Other/Unknown,Pre-Pandemic,False
Dominican Republic,2020,14328,43312940,North America,Other/Unknown,Other/Unknown,Post-Pandemic,True
Dominican Republic,2021,13998,104934081,North America,Other/Unknown,Other/Unknown,Post-Pandemic,False
Dominican Republic,2022,16645,102536313,North America,Other/Unknown,Other/Unknown,Post-Pandemic,False
Dominican Republic,2023,14968,168606659,North America,Other/Unknown,Other/Unknown,Post-Pandemic,False
Dominican Republic,2024,15309,165843869,North America,Other/Unknown,Other/Unknown,Post-Pandemic,True
Ecuador,2019,6226,38064072,South America,Other/Unknown,Other/Unknown,Pre-Pandemic,False
Ecuador,2020,8187,47318231,South America,Other/Unknown,Other/Unknown,Post-Pandemic,True
Ecuador,2021,10130,75385877,South America,Other/Unknown,Other/Unknown,Post-Pandemic,False
Ecuador,2022,8819,127649437,South America,Other/Unknown,Other/Unknown,Post-Pandemic,False
Ecuador,2023,9335,142120063,South America,Other/Unknown,Other/Unknown,Post-Pandemic,False
Ecuador,2024,12406,197235551,South America,Other/Unknown,Other/Unknown,Post-Pandemic,True
Egypt,2019,1426,21281601,Africa,Lower-Middle Income,Other/Unknown,Pre-Pandemic,False
Egypt,2020,1971,29498445,Africa,Lower-Middle Income,Other/Unknown,Post-Pandemic,True
Egypt,2021,2722,36567441,Africa,Lower-Middle Income,Other/Unknown,Post-Pandemic,False
Egypt,2022,2216,54836127,Africa,Lower-Middle Income,Other/Unknown,Post-Pandemic,False
Egypt,2023,2482,68775642,Africa,Lower-Middle Income,Other/Unknown,Post-Pandemic,False
Egypt,2024,2688,99156499,Africa,Lower-Middle Income,Other/Unknown,Post-Pandemic,True
El Salvador,2019,429,7625619,North America,Lower-Middle Income,Other/Unknown,Pre-Pandemic,False
El Salvador,2020,711,6605847,North America,Lower-Middle Income,Other/Unknown,Post-Pandemic,True
El Salvador,2021,749,14236747,North America,Lower-Middle Income,Other/Unknown,Post-Pandemic,False
El Salvador,2022,825,19942832,North America,Lower-Middle Income,Other/Unknown,Post-Pandemic,False
El Salvador,2023,791,29082153,North America,Lower-Middle Income,Other/Unknown,Post-Pandemic,False
El Salvador,2024,872,29969414,North America,Lower-Middle Income,Other/Unknown,Post-Pandemic,True
Estonia,2019,9712,63377416,Europe,Other/Unknown,Western,Pre-Pandemic,False
Estonia,2020,16004,81946736,Europe,Other/Unknown,Western,Post-Pandemic,True
Estonia,2021,12971,102711672,Europe,Other/Unknown,Western,Post-Pandemic,False
Estonia,2022,14979,169799799,Europe,Other/Unknown,Western,Post-Pandemic,False
Estonia,2023,18399,210872015,Europe,Other/Unknown,Western,Post-Pandemic,False
Estonia,2024,20046,244151604,Europe,Other/Unknown,Western,Post-Pandemic,True
Eswatini,2019,6293,36939924,Africa,Other/Unknown,Other/Unknown,Pre-Pandemic,False
Eswatini,2020,9344,55886392,Africa,Other/Unknown,Other/Unknown,Post-Pandemic,True
Eswatini,2021,9415,73533565,Africa,Other/Unknown,Other/Unknown,Post-Pandemic,False
Eswatini,2022,8944,107487425,Africa,Other/Unknown,Other/Unknown,Post-Pandemic,False
Eswatini,2023,10325,110748724,Africa,Other/Unknown,Other/Unknown,Post-Pandemic,False
Eswatini,2024,11752,162203379,Africa,Other/Unknown,Other/Unknown,Post-Pandemic,True
Finland,2019,14427,179710211,Europe,High Income,Western,Pre-Pandemic,False
Finland,2020,23146,209024271,Europe,High Income,Western,Post-Pandemic,True
Finland,2021,17554,442442726,Europe,High Income,Western,Post-Pandemic,False
Finland,2022,29642,513111722,Europe,High Income,Western,Post-Pandemic,False
Finland,2023,26918,712562892,Europe,High Income,Western,Post-Pandemic,False
Finland,2024,25890,721920497,Europe,High Income,Western,Post-Pandemic,True
France,2019,160810,967758695,Europe,High Income,Western,Pre-Pandemic,False
France,2020,211096,1099523432,Europe,High Income,Western,Post-Pandemic,True
France,2021,204190,2305495866,Europe,High Income,Western,Post-Pandemic,False
France,2022,183886,3043377444,Europe,High Income,Western,Post-Pandemic,False
France,2023,297363,3212220994,Europe,High Income,Western,Post-Pandemic,False
France,2024,208832,4025659986,Europe,High Income,Western,Post-Pandemic,True
Georgia,2019,2158,11248342,Asia,Other/Unknown,Other/Unknown,Pre-Pandemic,False
Georgia,2020,2749,13581482,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,True
Georgia,2021,2949,22863562,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,False
Georgia,2022,2760,33926202,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,False
Georgia,2023,3265,34237776,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,False
Georgia,2024,3306,47876570,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,True
Germany,2019,95136,1559415577,Europe,High Income,Western,Pre-Pandemic,False
Germany,2020,148495,2432407746,Europe,High Income,Western,Post-Pandemic,True
Germany,2021,164061,2226372097,Europe,High Income,Western,Post-Pandemic,False
Germany,2022,203346,3442137764,Europe,High Income,Western,Post-Pandemic,False
Germany,2023,178259,5575128098,Europe,High Income,Western,Post-Pandemic,False
Germany,2024,146731,5279486289,Europe,High Income,Western,Post-Pandemic,True
Ghana,2019,463,6103570,Africa,Other/Unknown,Other/Unknown,Pre-Pandemic,False
Ghana,2020,842,6502100,Africa,Other/Unknown,Other/Unknown,Post-Pandemic,True
Ghana,2021,866,11183262,Africa,Other/Unknown,Other/Unknown,Post-Pandemic,False
Ghana,2022,812,20023734,Africa,Other/Unknown,Other/Unknown,Post-Pandemic,False
Ghana,2023,765,22014808,Africa,Other/Unknown,Other/Unknown,Post-Pandemic,False
Ghana,2024,1229,23766287,Africa,Other/Unknown,Other/Unknown,Post-Pandemic,True
Greece,2019,5785,41506851,Europe,High Income,Western,Pre-Pandemic,False
Greece,2020,10490,45286391,Europe,High Income,Western,Post-Pandemic,True
Greece,2021,10211,100042024,Europe,High Income,Western,Post-Pandemic,False
Greece,2022,9740,115032546,Europe,High Income,Western,Post-Pandemic,False
Greece,2023,10849,134866182,Europe,High Income,Western,Post-Pandemic,False
Greece,2024,8408,157051155,Europe,High Income,Western,Post-Pandemic,True
Guatemala,2019,3799,23310755,North America,Other/Unknown,Other/Unknown,Pre-Pandemic,False
Guatemala,2020,6358,26291913,North America,Other/Unknown,Other/Unknown,Post-Pandemic,True
Guatemala,2021,4657,51948711,North America,Other/Unknown,Other/Unknown,Post-Pandemic,False
Guatemala,2022,6416,53100301,North America,Other/Unknown,Other/Unknown,Post-Pandemic,False
Guatemala,2023,6169,84710783,North America,Other/Unknown,Other/Unknown,Post-Pandemic,False
Guatemala,2024,6949,70899579,North America,Other/Unknown,Other/Unknown,Post-Pandemic,True
Guinea,2019,316,2942671,Africa,Other/Unknown,Other/Unknown,Pre-Pandemic,False
Guinea,2020,546,4484265,Africa,Other/Unknown,Other/Unknown,Post-Pandemic,True
Guinea,2021,528,5487083,Africa,Other/Unknown,Other/Unknown,Post-Pandemic,False
Guinea,2022,597,6648059,Africa,Other/Unknown,Other/Unknown,Post-Pandemic,False
Guinea,2023,655,8907146,Africa,Other/Unknown,Other/Unknown,Post-Pandemic,False
Guinea,2024,660,11773707,Africa,Other/Unknown,Other/Unknown,Post-Pandemic,True
Honduras,2019,7668,77996271,North America,Other/Unknown,Other/Unknown,Pre-Pandemic,False
Honduras,2020,12844,89984923,North America,Other/Unknown,Other/Unknown,Post-Pandemic,True
Honduras,2021,13421,152669227,North America,Other/Unknown,Other/Unknown,Post-Pandemic,False
Honduras,2022,12760,224899521,North America,Other/Unknown,Other/Unknown,Post-Pandemic,False
Honduras,2023,13581,264720338,North America,Other/Unknown,Other/Unknown,Post-Pandemic,False
Honduras,2024,10132,282288918,North America,Other/Unknown,Other/Unknown,Post-Pandemic,True
Hong Kong,2019,113923,746613837,Asia,High Income,Eastern,Pre-Pandemic,False
Hong Kong,2020,237997,823420937,Asia,High Income,Eastern,Post-Pandemic,True
Hong Kong,2021,225295,1732897646,Asia,High Income,Eastern,Post-Pandemic,False
Hong Kong,2022,254729,2360701043,Asia,High Income,Eastern,Post-Pandemic,False
Hong Kong,2023,242261,3458797505,Asia,High Income,Eastern,Post-Pandemic,False
Hong Kong,2024,248576,2863308167,Asia,High Income,Eastern,Post-Pandemic,True
Hungary,2019,3707,75257661,Europe,Other/Unknown,Other/Unknown,Pre-Pandemic,False
Hungary,2020,6227,61005748,Europe,Other/Unknown,Other/Unknown,Post-Pandemic,True
Hungary,2021,6390,140588839,Europe,Other/Unknown,Other/Unknown,Post-Pandemic,False
Hungary,2022,4726,198716263,Europe,Other/Unknown,Other/Unknown,Post-Pandemic,False
Hungary,2023,4484,309048399,Europe,Other/Unknown,Other/Unknown,Post-Pandemic,False
Hungary,2024,7157,274342202,Europe,Other/Unknown,Other/Unknown,Post-Pandemic,True
Iceland,2019,392,3053735,Europe,High Income,Western,Pre-Pandemic,False
Iceland,2020,606,3294003,Europe,High Income,Western,Post-Pandemic,True
Iceland,2021,655,5624854,Europe,High Income,Western,Post-Pandemic,False
Iceland,2022,622,7103744,Europe,High Income,Western,Post-Pandemic,False
Iceland,2023,751,11241606,Europe,High Income,Western,Post-Pandemic,False
Iceland,2024,609,14745257,Europe,High Income,Western,Post-Pandemic,True
India,2019,50473,989343380,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
India,2020,104570,1155524769,Asia,Lower-Middle Income,Eastern,Post-Pandemic,True
India,2021,89534,2062881042,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
India,2022,82980,2898740652,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
India,2023,96339,3640042741,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
India,2024,98092,4164403367,Asia,Lower-Middle Income,Eastern,Post-Pandemic,True
Indonesia,2019,32221,437808210,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
Indonesia,2020,67619,598180089,Asia,Lower-Middle Income,Eastern,Post-Pandemic,True
Indonesia,2021,57876,972015041,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
Indonesia,2022,56299,1465738977,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
Indonesia,2023,59403,2089001077,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
Indonesia,2024,53925,2432253507,Asia,Lower-Middle Income,Eastern,Post-Pandemic,True
Iran,2019,46337,442237902,Asia,Lower-Middle Income,Eastern,Pre-Pandemic,False
Iran,2020,61727,508268749,Asia,Lower-Middle Income,Eastern,Post-Pandemic,True
Iran,2021,74786,843019965,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
Iran,2022,41924,1314548035,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
Iran,2023,69872,1502603054,Asia,Lower-Middle Income,Eastern,Post-Pandemic,False
Iran,2024,74119,1614663021,Asia,Lower-Middle Income,Eastern,Post-Pandemic,True
Iraq,2019,32400,191135345,Asia,Other/Unknown,Other/Unknown,Pre-Pandemic,False
Iraq,2020,56447,192067847,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,True
Iraq,2021,59837,313674949,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,False
Iraq,2022,41170,605452580,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,False
Iraq,2023,63177,524182382,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,False
Iraq,2024,70055,803018708,Asia,Other/Unknown,Other/Unknown,Post-Pandemic,True
Ireland,2019,16178,316218523,Europe,High Income,Western,Pre-Pandemic,False
Ireland,2020,22105,382100626,Europe,High Income,Western,Post-Pandemic,True
Ireland,2021,25510,544309794,Europe,High Income,Western,Post-Pandemic,False
Ireland,2022,25234,770682201,Europe,High Income,Western,Post-Pandemic,False
Ireland,2023,28289,856830691,Europe,High Income,Western,Post-Pandemic,False
Ireland,2024,31525,1499685797,Europe,High Income,Western,Post-Pandemic,True
Israel,2019,7870,72760275,Asia,High Income,Western,Pre-Pandemic,False
